Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
699,1018,334,-201.48,56.24,34.73
700,1018,332,-198.88,77.23,32.32
701,1016,330,-199.48,75.09,31.04
702,1016,328,-198.95,74.22,29.18
703,1016,326,-200.00,74.62,28.66
704,1016,324,-198.38,11.89,31.02
705,1016,322,-192.38,4.35,32.78
706,1016,320,-189.67,47.18,31.42
707,1016,318,-186.86,44.49,28.84
708,1014,316,-187.79,33.87,27.75
709,1012,314,-190.39,29.64,27.24
710,1012,312,-191.03,42.53,25.14
711,1012,310,-189.79,6.03,25.80
712,1012,308,-187.27,47.25,27.49
713,1010,306,-188.32,57.89,29.76
714,1008,304,-190.28,29.20,28.51
715,1008,302,-187.66,34.56,26.66
716,1006,300,-185.98,41.91,29.25
717,1004,298,-184.46,50.64,32.49
718,1002,296,-187.74,35.14,33.99
719,1002,294,-186.03,20.46,30.56
720,1002,292,-182.46,30.96,28.44
721,1000,290,-183.32,14.54,32.96
722,998,288,-185.85,31.49,37.03
723,996,286,-190.41,53.38,35.24
724,994,284,-190.46,52.06,32.06
725,994,282,-187.50,40.70,31.50
726,992,280,-188.76,62.96,31.46
727,990,278,-189.96,6.95,32.57
728,990,276,-191.12,33.77,30.19
729,990,274,-190.79,58.41,28.18
730,990,272,-189.71,48.87,27.47
731,990,270,-187.82,8.70,27.03
732,990,268,-184.92,15.33,25.94
733,990,266,-182.15,37.96,24.37
734,990,264,-180.62,42.18,24.74
735,990,262,-178.35,47.19,27.38
736,990,260,-176.37,44.05,31.59
737,990,258,-171.32,30.91,33.77
738,988,256,-169.38,42.60,33.36
739,988,254,-162.73,38.10,29.02
740,986,252,-167.91,25.55,29.05
741,984,250,-166.83,42.20,22.89
742,982,248,-169.47,35.12,24.80
743,982,246,-166.08,27.36,30.07
744,980,244,-168.82,21.65,33.07
745,978,242,-172.96,31.50,29.31
746,978,240,-170.93,25.72,28.10
747,976,238,-166.90,69.58,33.67
748,976,236,-163.07,65.39,31.19
749,976,234,-160.89,10.93,27.93
750,974,232,-161.91,47.64,32.12
751,974,230,-166.45,24.22,28.90
752,974,228,-168.12,21.03,24.54
753,974,226,-164.31,35.45,25.85
754,974,224,-159.68,32.36,27.05
755,974,222,-154.37,17.21,26.25
756,974,220,-154.10,27.88,27.37
757,974,218,-155.30,54.60,31.15
758,974,216,-152.74,60.94,33.74
759,974,214,-151.24,49.40,31.11
760,974,212,-148.98,40.28,27.89
761,974,210,-142.85,49.85,27.28
762,974,208,-138.15,51.16,25.73
763,974,206,-132.61,36.37,22.63
764,974,204,-132.50,25.08,22.02
765,974,202,-134.08,14.86,23.99
766,974,200,-133.30,31.10,28.35
767,974,198,-130.38,25.03,34.64
768,974,196,-126.10,22.94,40.21
769,974,194,-122.68,37.46,43.63
770,974,192,-124.36,29.28,43.12
771,974,190,-117.83,46.99,36.66
772,972,188,-107.00,40.11,36.49
773,972,186,-108.48,46.87,34.23
774,972,184,-107.30,37.87,39.03
775,972,182,-104.36,30.20,43.77
776,972,180,-104.27,15.24,45.16
777,972,178,-104.02,20.05,42.37
778,972,176,-104.83,44.77,36.86
779,972,174,-98.67,54.09,30.85
780,972,172,-93.74,49.85,23.80
781,972,170,-93.90,27.52,23.93
782,972,168,-92.32,22.55,29.47
783,972,166,-90.11,26.52,31.76
784,972,164,-84.99,22.07,30.46
785,972,162,-84.16,28.08,30.06
786,972,160,-82.78,39.08,32.22
787,972,158,-75.12,34.53,32.00
788,972,156,-74.11,20.70,30.19
789,972,154,-69.91,35.84,31.15
790,972,152,-64.69,25.42,34.06
791,972,150,-61.92,45.30,36.38
792,972,148,-57.42,52.82,35.59
793,972,146,-56.46,39.77,34.80
794,972,144,-61.69,61.07,33.95
795,972,142,-57.56,48.89,33.23
796,972,140,-54.99,30.92,34.15
797,972,138,-48.17,19.20,32.45
798,972,136,-46.15,50.71,28.15
799,972,134,-42.36,68.36,26.71
800,972,132,-41.05,60.15,28.22
801,972,130,-40.85,15.55,30.15
802,972,128,-40.42,49.09,31.54
803,972,126,-34.81,47.30,30.49
804,970,124,-27.22,57.99,30.69
805,968,122,-31.06,41.76,32.77
806,966,120,-29.65,43.12,29.39
807,964,118,-33.03,53.51,27.22
808,962,116,-30.13,3.93,28.27
809,960,114,-31.53,34.30,33.40
810,958,112,-33.71,38.67,32.19
811,956,110,-30.49,54.23,31.57
812,954,108,-32.26,50.89,33.25
813,954,106,-23.05,36.49,37.09
814,952,104,-28.86,36.88,30.25
815,952,102,-26.54,13.53,27.47
816,950,100,-21.95,32.99,25.64
817,948,98,-29.71,14.35,24.59
818,946,96,-30.43,41.75,13.39
819,944,94,-26.14,37.40,20.49
820,942,92,-26.74,17.43,30.72
821,940,90,-28.67,19.37,33.96
822,938,88,-29.73,52.62,32.05
823,936,86,-31.85,25.60,28.58
824,934,84,-32.50,17.61,28.77
825,932,82,-29.60,15.01,27.95
826,930,80,-24.09,12.04,28.55
827,928,78,-29.74,45.74,28.18
828,926,76,-29.77,53.72,14.94
829,926,74,-28.25,26.44,17.90
830,926,72,-29.93,20.34,27.76
831,926,70,-19.69,14.22,30.41
832,926,68,-16.89,21.23,27.52
833,924,66,-24.16,29.26,32.37
834,924,64,-21.06,32.90,31.35
835,924,62,-20.02,33.67,31.92
836,924,60,-16.39,39.56,33.44
837,924,58,-17.69,32.78,34.94
838,924,56,-13.39,29.83,38.00
839,924,54,-5.61,33.21,38.80
840,922,52,-6.04,41.34,42.34
841,920,50,-6.24,22.96,38.01
842,920,48,-4.89,63.42,30.75
843,920,46,1.37,60.37,24.08
844,920,44,1.06,34.21,21.12
845,920,42,2.28,25.03,24.62
846,920,40,4.96,37.29,30.98
847,920,38,8.90,37.90,34.70
848,918,36,8.31,20.66,32.15
849,918,34,11.71,17.57,30.24
850,918,32,13.98,10.58,30.77
851,918,30,17.12,2.62,33.04
852,918,28,18.89,7.95,33.79
853,916,26,18.06,11.03,34.67
854,916,24,22.59,27.08,35.23
855,914,22,22.09,33.10,33.47
856,912,20,23.45,12.88,33.06
857,910,18,23.34,17.35,34.44
858,910,16,26.60,22.82,34.28
859,910,14,31.13,21.89,29.52
860,908,12,31.49,31.84,29.35
861,906,10,33.58,51.39,39.08
862,904,8,28.16,53.04,42.71
863,902,6,30.18,57.56,38.27
864,900,4,30.21,65.20,35.26
865,898,2,28.17,29.06,33.31
866,896,2,24.36,21.26,31.80
867,894,2,21.41,16.58,29.32
868,892,2,19.10,34.51,29.44
869,890,2,16.87,42.00,33.28
870,888,0,19.46,24.77,30.68
871,886,0,16.90,14.56,31.51
872,884,0,14.78,2.45,34.35
873,882,0,10.98,11.97,41.12
874,880,0,5.55,18.93,44.61
875,878,0,-0.53,21.43,41.66
876,876,0,-5.71,26.58,32.77
877,874,0,-7.93,30.06,23.88
878,872,2,-11.89,16.53,16.91
879,870,4,-12.74,26.14,14.73
880,868,4,-13.69,22.90,18.10
881,866,4,-15.03,23.08,27.47
882,864,4,-18.64,16.92,32.69
883,862,4,-25.49,10.58,27.92
884,860,4,-26.95,14.90,21.14
885,858,4,-27.62,13.92,21.05
886,856,4,-28.79,24.93,24.67
887,854,4,-31.51,31.21,27.97
888,852,2,-34.98,9.09,27.51
889,850,0,-37.42,33.24,26.52
890,848,0,-39.58,30.48,27.31
891,846,0,-42.13,28.18,27.85
892,844,0,-44.41,29.01,27.21
893,842,0,-45.94,27.40,25.47
894,840,0,-47.00,17.05,22.96
895,838,0,-47.67,34.78,21.16
896,836,0,-49.53,46.74,22.67
897,834,0,-52.01,39.53,26.44
898,832,0,-55.49,20.00,26.98
899,830,0,-57.00,22.34,23.53
900,828,0,-58.10,29.00,20.38
901,826,0,-60.42,39.46,20.32
902,824,0,-61.98,47.86,25.43
903,822,0,-65.75,47.83,31.93
904,820,0,-71.87,42.90,30.10
905,818,0,-74.50,35.97,21.12
906,816,0,-74.50,26.85,18.62
907,814,0,-75.37,19.38,26.52
908,812,0,-78.72,15.39,35.36
909,810,0,-83.93,24.09,38.78
910,808,0,-89.23,34.60,36.94
911,806,0,-92.66,39.94,33.38
912,804,0,-94.87,30.30,31.95
913,802,0,-97.97,21.48,31.80
914,800,0,-101.55,25.62,30.69
915,798,0,-104.75,30.45,29.46
916,796,0,-107.81,24.60,29.32
917,794,0,-110.87,24.14,29.80
918,792,0,-113.93,14.94,30.22
919,790,0,-116.99,9.59,30.29
920,788,0,-120.06,4.64,28.98
921,786,0,-123.12,5.82,25.71
922,784,0,-124.39,12.02,22.59
923,782,0,-125.87,21.41,22.06
924,780,0,-127.40,20.52,23.78
925,778,0,-129.41,5.49,26.16
926,776,0,-131.94,11.86,28.32
927,774,0,-134.49,6.89,30.70
928,772,0,-138.07,17.63,32.40
929,770,0,-142.13,31.03,32.02
930,768,0,-145.65,26.14,30.30
931,766,0,-148.24,11.50,29.07
932,764,0,-151.25,17.71,28.48
933,762,0,-153.74,27.51,28.14
934,760,0,-155.92,29.16,28.43
935,758,0,-158.91,27.64,29.06
936,756,0,-161.55,24.50,29.45
937,754,0,-164.61,12.66,29.39
938,752,0,-167.56,9.51,29.05
939,750,0,-170.23,27.27,28.80
940,748,0,-173.16,44.37,28.44
941,746,0,-175.72,46.34,27.89
942,744,0,-178.42,32.26,27.20
943,742,0,-181.32,24.75,25.70
944,740,0,-183.52,25.69,24.17
945,738,0,-185.24,42.47,25.36
946,736,0,-187.28,42.75,28.85
947,734,0,-189.73,18.99,30.68
948,732,0,-192.58,10.31,29.53
949,730,0,-195.13,14.13,28.52
950,728,0,-197.68,15.84,30.20
951,726,0,-200.73,24.65,31.76
952,724,2,-208.73,38.68,25.85
953,722,2,-211.08,43.84,20.01
954,720,2,-211.35,50.92,19.58
955,718,2,-212.51,54.32,23.11
956,716,2,-215.01,58.37,28.74
957,714,2,-218.19,62.39,35.59
958,712,2,-222.34,65.69,37.35
959,710,2,-225.23,67.15,33.67
960,708,2,-226.61,67.07,30.78
961,706,2,-228.51,64.92,31.23
962,704,2,-230.79,59.98,32.46
963,702,2,-234.88,62.19,32.82
964,700,2,-239.25,61.36,31.98
965,698,2,-243.01,50.63,27.42
966,696,2,-245.03,38.32,16.93
967,694,2,-244.72,35.29,12.30
968,692,2,-243.21,34.74,11.83
969,690,0,-241.27,33.22,5.88
970,688,0,-239.67,29.42,17.21
971,686,0,-242.22,30.33,29.64
972,684,0,-246.67,29.48,36.84
973,682,0,-251.74,28.43,40.09
974,680,0,-258.30,31.75,38.16
975,678,0,-260.48,35.81,31.75
976,676,0,-261.51,37.70,26.74
977,674,0,-262.56,36.30,25.47
978,672,0,-264.65,32.85,25.69
979,670,0,-267.72,24.11,27.36
980,668,0,-270.82,23.13,29.41
981,666,0,-274.28,22.03,28.49
982,664,0,-276.70,11.83,24.34
983,662,0,-278.08,5.33,20.21
984,660,0,-278.68,32.83,20.42
985,658,0,-279.89,24.40,26.83
986,656,0,-282.69,30.66,34.92
987,654,0,-288.31,24.55,36.60
988,652,0,-293.40,18.23,28.08
989,650,0,-294.61,13.23,15.75
990,648,0,-291.75,21.74,15.85
991,646,0,-294.46,17.85,24.68
992,644,0,-297.86,6.49,31.75
993,642,0,-301.95,7.00,34.65
994,640,0,-306.03,21.40,33.76
995,638,0,-310.11,32.97,30.71
996,636,0,-313.14,32.64,29.40
997,634,0,-315.11,26.94,30.82
998,632,0,-317.89,33.39,32.32
999,630,0,-320.47,46.40,33.28
1000,628,0,-323.78,37.68,34.49
1001,626,0,-328.11,6.56,34.30
1002,624,0,-332.46,13.03,30.86
1003,622,0,-335.35,23.22,24.54
1004,620,0,-336.88,39.12,19.88
1005,618,0,-338.72,43.17,19.19
1006,616,0,-340.45,36.86,21.85
1007,614,0,-341.98,19.76,27.10
1008,612,0,-344.52,57.19,31.00
1009,610,0,-347.92,63.05,30.22
1010,608,0,-351.14,42.43,26.51
1011,606,0,-353.83,48.64,24.99
1012,604,0,-356.01,54.75,28.24
1013,602,0,-358.05,40.83,32.11
1014,600,0,-360.09,23.90,33.25
1015,598,0,-363.77,45.45,32.05
1016,596,0,-367.85,47.38,28.06
1017,594,0,-370.22,47.13,22.96
1018,592,0,-370.94,40.54,21.71
1019,590,0,-371.00,11.74,26.12
1020,588,0,-374.22,14.52,31.96
1021,586,0,-378.26,16.94,35.01
1022,584,0,-382.35,14.77,35.06
1023,582,0,-385.94,25.49,33.51
1024,580,0,-389.51,17.89,31.54
1025,578,0,-392.07,19.14,30.08
1026,576,0,-395.13,27.67,28.26
1027,574,0,-398.13,29.09,24.56
1028,572,0,-400.21,38.46,20.32
1029,570,2,-404.14,51.14,14.97
1030,568,4,-406.80,49.06,14.96
1031,566,4,-406.89,18.40,16.67
1032,564,4,-407.38,22.75,19.88
1033,562,4,-409.83,33.25,22.83
1034,560,4,-412.31,39.99,25.17
1035,558,4,-414.95,42.93,28.42
1036,556,4,-417.92,32.67,31.59
1037,554,4,-420.91,7.67,32.67
1038,552,4,-424.06,8.88,32.90
1039,550,4,-427.40,9.45,33.73
1040,548,4,-430.76,26.69,33.51
1041,546,4,-434.16,31.64,31.62
1042,544,4,-437.22,26.39,30.31
1043,542,2,-438.78,23.70,32.29
1044,540,2,-441.82,22.37,32.40
1045,538,2,-444.86,18.83,29.53
1046,536,2,-447.69,27.59,25.80
1047,534,2,-449.79,36.14,23.50
1048,532,2,-451.59,42.86,23.03
1049,530,2,-453.16,44.12,23.58
1050,528,2,-454.26,45.23,24.86
1051,526,2,-455.86,51.27,26.71
1052,524,2,-457.37,48.43,30.19
1053,522,2,-460.49,22.52,35.16
1054,520,2,-464.73,31.30,38.69
1055,518,2,-469.72,37.33,39.07
1056,516,2,-474.60,37.11,35.51
1057,514,2,-478.12,33.69,29.78
1058,512,2,-479.47,21.26,29.69
1059,510,2,-481.68,12.47,36.85
1060,508,2,-486.97,25.92,41.56
1061,506,2,-493.73,35.40,36.55
1062,504,2,-495.38,37.56,26.22
1063,502,2,-495.77,31.68,23.75
1064,500,2,-497.60,20.89,28.89
1065,498,2,-500.54,21.79,31.15
1066,496,2,-503.66,24.78,28.36
1067,494,2,-506.32,10.50,24.94
1068,492,2,-508.42,16.23,24.32
1069,490,2,-510.93,20.40,25.33
1070,488,4,-515.10,30.43,28.31
1071,486,4,-517.63,25.51,29.82
1072,484,4,-520.27,17.81,30.02
1073,482,4,-522.72,17.99,30.03
1074,480,4,-524.78,18.52,31.39
1075,478,4,-527.31,22.55,34.21
1076,476,4,-531.07,26.09,36.44
1077,474,4,-534.77,26.50,36.80
1078,472,4,-538.65,30.19,35.38
1079,470,4,-541.73,37.66,32.48
1080,468,4,-544.27,44.32,29.32
1081,466,4,-546.72,45.24,27.32
1082,464,4,-549.11,37.55,26.60
1083,462,4,-551.34,30.18,26.21
1084,460,4,-553.87,24.65,26.29
1085,458,4,-555.98,28.96,26.83
1086,456,4,-557.10,18.18,26.83
1087,454,4,-558.31,32.57,26.36
1088,452,4,-559.81,48.12,26.52
1089,450,4,-561.57,53.64,27.67
1090,448,4,-563.50,69.04,29.23
1091,446,4,-565.23,74.69,30.77
1092,444,4,-566.78,74.64,32.46
1093,442,4,-568.93,70.92,33.95
1094,440,4,-572.07,61.11,34.30
1095,438,4,-574.80,49.50,33.80
1096,436,4,-577.30,59.59,33.71
1097,434,4,-580.31,62.50,34.26
1098,432,4,-583.79,56.83,34.46
1099,430,4,-587.27,51.73,33.83
1100,428,4,-590.51,49.29,32.53
1101,426,4,-593.27,54.91,31.28
1102,424,4,-595.82,60.80,30.91
1103,422,4,-598.69,64.49,31.25
1104,420,4,-601.43,61.79,31.74
1105,418,4,-603.98,56.64,31.89
1106,416,4,-606.25,52.28,31.29
1107,414,4,-608.68,56.87,29.92
1108,412,4,-610.86,62.09,28.49
1109,410,4,-612.83,61.32,27.59
1110,408,4,-614.85,57.25,26.74
1111,406,4,-616.81,52.37,25.65
1112,404,4,-618.42,49.03,25.57
1113,402,4,-620.46,48.15,26.82
1114,400,4,-622.59,51.40,28.39
1115,398,4,-625.01,54.77,30.28
1116,396,4,-627.18,52.69,32.80
1117,394,4,-629.78,45.89,34.58
1118,392,4,-632.72,36.78,34.67
1119,390,4,-635.39,36.47,34.30
1120,388,4,-637.94,51.09,34.42
1121,386,4,-640.91,61.78,34.54
1122,384,4,-643.97,59.48,33.91
1123,382,4,-646.93,44.69,32.91
1124,380,4,-650.00,30.27,32.11
1125,378,4,-653.01,42.48,31.47
1126,376,4,-655.58,48.02,31.52
1127,374,4,-658.28,42.73,32.55
1128,372,4,-661.28,29.15,33.71
1129,370,4,-664.00,24.61,34.38
1130,368,4,-667.06,19.77,34.37
1131,366,4,-669.91,21.84,32.97
1132,364,4,-671.95,32.05,30.56
1133,362,4,-673.86,42.72,28.91
1134,360,4,-675.64,49.15,29.77
1135,358,4,-678.40,52.43,33.30
1136,356,4,-682.19,55.00,36.64
1137,354,4,-686.65,56.34,37.07
1138,352,4,-690.73,60.27,34.56
1139,350,4,-694.17,64.17,31.05
1140,348,4,-696.73,64.52,27.96
1141,346,4,-698.21,61.28,26.05
1142,344,4,-700.08,54.58,25.88
1143,342,4,-702.16,46.01,27.88
1144,340,4,-704.74,30.96,30.76
1145,338,4,-707.60,20.05,32.45
1146,336,4,-710.19,24.42,31.88
1147,334,4,-712.47,33.88,28.79
1148,332,4,-713.77,39.88,27.42
1149,330,4,-715.01,44.36,30.22
1150,328,4,-716.94,47.48,33.94
1151,326,4,-719.96,46.38,34.93
1152,324,4,-723.09,36.43,32.37
1153,322,6,-729.60,32.94,24.75
1154,320,8,-733.05,43.14,25.82
1155,320,10,-734.97,47.01,29.72
1156,320,12,-739.09,43.69,32.83
1157,320,14,-744.49,21.51,33.96
1158,320,16,-749.78,18.28,33.80
1159,320,18,-755.08,49.45,31.78
1160,320,20,-756.74,59.45,29.75
1161,320,22,-757.98,56.89,31.54
1162,318,24,-766.51,52.18,34.10
1163,318,26,-768.71,39.82,34.36
1164,318,28,-774.27,32.32,34.23
1165,318,30,-779.63,7.53,31.65
1166,318,32,-781.51,19.22,27.88
1167,318,34,-781.86,38.27,24.83
1168,318,36,-786.46,58.23,22.60
1169,318,38,-782.74,66.88,21.92
1170,318,40,-787.25,65.61,30.75
1171,318,42,-796.60,37.52,38.38
1172,318,44,-804.91,53.09,34.31
1173,318,46,-805.24,32.40,25.77
1174,318,48,-805.58,6.46,23.29
1175,318,50,-811.03,30.37,28.44
1176,318,52,-816.46,29.91,32.41
1177,318,54,-820.76,19.81,33.04
1178,318,56,-823.61,16.18,31.22
1179,318,58,-826.29,6.42,28.75
1180,318,60,-829.29,22.31,25.45
1181,318,62,-829.59,30.72,21.89
1182,318,64,-829.51,23.40,21.77
1183,318,66,-834.90,42.99,26.46
1184,318,68,-837.89,34.68,31.00
1185,318,70,-841.06,27.34,32.94
1186,318,72,-847.13,25.42,32.77
1187,318,74,-849.00,13.59,34.17
1188,318,76,-852.74,21.75,34.06
1189,318,78,-856.38,45.64,30.94
1190,318,80,-858.39,62.78,29.55
1191,318,82,-862.69,58.87,29.65
1192,318,84,-866.41,34.17,29.03
1193,318,86,-870.69,50.63,27.31
1194,318,88,-873.81,61.88,24.27
1195,318,90,-874.12,56.91,23.18
1196,318,92,-877.67,38.96,26.63
1197,318,94,-880.58,15.47,32.62
1198,318,96,-886.34,33.57,37.09
1199,318,98,-893.76,35.89,35.72
1200,318,100,-894.76,27.18,31.52
1201,318,102,-898.53,17.88,29.92
1202,318,104,-902.36,17.45,29.54
1203,318,106,-904.83,24.95,29.91
1204,318,108,-908.22,32.50,31.10
1205,318,110,-912.11,34.29,31.23
1206,318,112,-915.37,16.99,29.47
1207,318,114,-917.20,15.40,28.03
1208,316,116,-918.26,13.59,30.82
1209,316,118,-920.34,23.63,35.50
1210,316,120,-924.36,34.16,35.82
1211,316,122,-931.36,14.51,31.37
1212,316,124,-934.59,22.95,26.38
1213,316,126,-935.43,38.98,28.38
1214,316,128,-940.98,33.00,31.91
1215,316,130,-944.96,19.68,32.99
1216,316,132,-946.37,31.21,33.90
1217,316,134,-948.33,23.56,34.64
1218,316,136,-950.65,39.35,35.69
1219,316,138,-956.76,38.04,35.49
1220,316,140,-958.67,22.81,34.99
1221,314,142,-961.39,36.18,37.16
1222,314,144,-967.94,41.95,37.94
1223,314,146,-971.03,28.17,36.18
1224,314,148,-973.66,26.91,36.16
1225,314,150,-975.13,27.16,37.03
1226,314,152,-978.73,14.77,36.21
1227,314,154,-984.86,21.50,33.04
1228,314,156,-988.19,24.53,30.64
1229,314,158,-989.14,25.56,31.87
1230,314,160,-990.37,49.73,33.50
1231,314,162,-996.25,49.78,32.87
1232,314,164,-999.03,29.39,29.28
1233,312,166,-1002.05,31.81,31.40
1234,312,168,-1009.22,45.67,31.36
1235,312,170,-1012.99,47.10,23.79
1236,312,172,-1012.24,46.09,17.74
1237,312,174,-1015.24,31.97,21.67
1238,312,176,-1017.90,23.00,29.25
1239,312,178,-1021.65,37.21,32.55
1240,312,180,-1027.34,38.27,32.22
1241,312,182,-1029.75,39.52,31.73
1242,312,184,-1032.44,27.10,29.92
1243,310,186,-1036.59,18.21,24.72
1244,308,188,-1041.45,30.03,25.38
1245,308,190,-1044.23,36.07,25.53
1246,308,192,-1045.61,29.43,25.94
1247,308,194,-1048.48,28.92,28.63
1248,308,196,-1055.86,23.85,31.94
1249,308,198,-1060.87,34.53,35.45
1250,308,200,-1062.84,40.24,39.19
1251,308,202,-1066.20,43.47,39.13
1252,308,204,-1069.86,56.19,36.34
1253,308,206,-1073.50,60.33,33.21
1254,308,208,-1077.69,52.85,30.73
1255,306,210,-1081.04,52.04,27.68
1256,304,212,-1084.27,31.91,28.98
1257,302,214,-1092.24,53.75,32.56
1258,302,216,-1094.29,39.76,31.66
1259,302,218,-1095.88,25.22,30.58
1260,300,220,-1098.39,15.76,27.39
1261,300,222,-1102.81,20.25,29.30
1262,300,224,-1107.49,55.09,27.06
1263,300,226,-1106.23,64.80,24.54
1264,300,228,-1104.17,52.98,23.94
1265,302,230,-1105.02,10.61,21.84
1266,304,232,-1109.23,12.87,25.02
1267,306,234,-1110.41,43.61,25.95
1268,308,236,-1110.72,61.00,27.69
1269,308,238,-1112.24,63.18,31.74
1270,308,240,-1114.18,46.51,33.84
1271,310,242,-1114.50,15.87,36.33
1272,312,244,-1114.90,7.72,37.56
1273,314,246,-1109.34,42.49,27.34
1274,316,248,-1111.78,44.60,23.16
1275,318,250,-1111.81,28.10,30.26
1276,320,252,-1109.83,35.99,25.86
1277,322,254,-1114.06,37.77,19.65
1278,324,256,-1116.08,32.93,24.59
1279,326,258,-1112.19,27.90,31.92
1280,328,260,-1108.83,39.99,29.35
1281,328,262,-1114.19,41.45,34.96
1282,330,264,-1117.94,21.09,33.32
1283,330,266,-1117.25,20.75,31.40
1284,330,268,-1124.75,21.21,30.20
1285,330,270,-1127.88,37.12,29.35
1286,330,272,-1129.22,45.04,30.79
1287,330,274,-1127.24,36.40,31.69
1288,330,276,-1129.84,42.05,32.65
1289,332,278,-1128.27,29.15,24.44
1290,332,280,-1132.79,29.94,27.42
1291,334,282,-1130.17,47.46,30.42
1292,336,284,-1128.94,46.78,29.95
1293,336,286,-1133.22,11.32,31.65
1294,336,288,-1137.55,18.14,32.78
1295,336,290,-1144.35,24.57,32.80
1296,336,292,-1146.68,39.96,31.96
1297,336,294,-1149.97,38.94,31.00
1298,336,296,-1150.76,46.50,31.97
1299,336,298,-1148.22,44.11,34.70
1300,336,300,-1153.90,26.78,37.04
1301,336,302,-1159.51,42.33,36.90
1302,336,304,-1163.49,58.15,35.48
1303,336,306,-1167.00,55.91,34.13
1304,336,308,-1170.30,29.06,33.04
1305,336,310,-1171.62,43.74,32.79
1306,336,312,-1172.89,31.46,32.01
1307,336,314,-1174.96,21.92,30.37
1308,336,316,-1177.31,6.70,29.95
1309,336,318,-1178.63,17.13,32.63
1310,336,320,-1179.99,10.54,36.01
1311,336,322,-1181.39,38.32,37.43
1312,336,324,-1185.01,49.29,35.86
1313,336,326,-1188.39,39.98,30.40
1314,338,328,-1181.61,27.86,19.28
1315,340,330,-1181.25,18.19,11.06
1316,342,332,-1179.58,16.23,14.90
1317,340,334,-1183.14,22.91,20.73
1318,340,336,-1185.94,50.75,24.38
1319,342,338,-1181.87,43.21,24.72
1320,342,340,-1183.17,32.58,29.97
1321,344,342,-1184.58,47.69,30.39
1322,346,344,-1186.22,52.59,31.15
1323,346,346,-1190.41,47.40,31.32
1324,346,348,-1193.84,20.12,31.02
1325,348,350,-1193.94,64.40,30.15
1326,350,352,-1191.92,35.08,32.01
1327,352,354,-1189.50,65.96,33.18
1328,354,356,-1189.72,52.58,30.98
1329,356,358,-1188.45,26.43,29.29
1330,356,360,-1190.53,22.73,29.80
1331,356,362,-1192.20,59.08,28.84
1332,356,364,-1195.10,31.45,28.66
1333,356,366,-1200.67,54.60,28.56
1334,356,368,-1203.63,57.55,28.77
1335,358,370,-1199.80,41.76,27.95
1336,358,372,-1204.42,57.42,28.74
1337,360,374,-1203.57,31.60,28.97
1338,362,376,-1202.60,24.47,31.95
1339,364,378,-1201.43,13.28,36.77
1340,366,378,-1196.53,12.37,36.22
1341,368,378,-1192.18,26.03,29.28
1342,370,378,-1191.02,27.32,19.42
1343,372,378,-1190.59,22.63,15.73
1344,374,380,-1189.57,21.16,14.37
1345,376,382,-1189.81,14.33,16.67
1346,378,384,-1185.72,35.09,24.70
1347,378,386,-1188.48,25.17,27.84
1348,380,388,-1189.71,24.56,30.95
1349,380,390,-1189.20,14.30,28.00
1350,382,392,-1185.57,65.84,19.90
1351,382,394,-1186.55,66.65,23.46
1352,384,396,-1185.67,25.65,30.39
1353,386,396,-1182.73,36.58,31.36
1354,388,398,-1177.62,54.74,26.20
1355,390,398,-1178.45,50.52,20.56
1356,392,398,-1178.34,49.86,21.31
1357,394,400,-1180.26,61.02,26.86
1358,396,400,-1177.20,49.85,27.19
1359,398,402,-1173.69,18.19,26.69
1360,400,404,-1170.16,30.93,30.57
1361,402,404,-1167.56,38.73,28.58
1362,404,406,-1166.84,40.96,22.07
1363,406,408,-1163.83,56.24,22.46
1364,408,408,-1161.98,56.69,28.10
1365,410,408,-1158.63,54.69,31.58
1366,412,408,-1154.57,56.57,26.36
1367,414,408,-1152.76,57.57,13.53
1368,414,410,-1155.35,45.49,21.92
1369,416,412,-1154.15,37.10,32.07
1370,418,414,-1153.50,38.65,34.69
1371,420,416,-1150.50,40.52,31.07
1372,422,416,-1147.81,40.23,24.15
1373,424,416,-1147.75,41.32,24.50
1374,426,416,-1146.02,47.50,30.67
1375,428,416,-1142.35,52.35,33.36
1376,430,416,-1138.00,53.21,27.16
1377,432,416,-1136.75,54.83,20.51
1378,434,416,-1135.36,57.55,26.41
1379,436,416,-1131.60,54.74,35.02
1380,438,416,-1128.40,48.92,35.02
1381,440,416,-1125.17,44.90,29.08
1382,442,416,-1123.16,34.67,26.51
1383,444,416,-1120.78,16.19,32.71
1384,446,418,-1119.06,54.94,37.36
1385,448,420,-1117.95,52.74,33.46
1386,450,420,-1114.82,54.55,28.82
1387,452,422,-1115.03,58.71,25.31
1388,454,424,-1115.48,54.96,29.55
1389,456,426,-1106.88,45.12,34.28
1390,458,426,-1104.66,41.00,35.31
1391,460,428,-1103.21,59.60,37.03
1392,462,430,-1104.23,53.15,39.40
1393,464,432,-1105.57,21.90,40.43
1394,466,432,-1102.10,49.28,35.58
1395,468,434,-1101.46,49.65,33.64
1396,470,436,-1100.68,40.38,38.11
1397,472,436,-1096.22,39.70,36.40
1398,474,436,-1092.68,33.91,31.87
1399,476,436,-1089.12,24.76,26.64
1400,478,436,-1085.74,25.33,22.54
1401,480,438,-1086.48,27.08,22.75
1402,482,440,-1083.62,32.39,25.25
