Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
157,304,704,-1486.22,30.38,28.12
158,306,704,-1483.59,39.78,28.34
159,308,704,-1480.62,29.70,28.27
160,310,704,-1478.07,19.78,27.48
161,312,704,-1475.51,23.97,26.79
162,314,704,-1472.96,16.91,27.32
163,316,704,-1470.28,18.61,30.12
164,318,704,-1466.84,4.64,34.83
165,320,704,-1462.40,15.62,38.68
166,322,704,-1457.81,6.17,39.11
167,324,704,-1453.43,3.47,35.55
168,326,704,-1449.83,34.67,28.98
169,328,706,-1449.84,39.83,25.80
170,330,706,-1448.18,25.02,25.65
171,332,706,-1445.41,3.69,26.62
172,334,706,-1442.46,13.86,25.94
173,336,706,-1439.77,15.04,22.84
174,338,706,-1438.09,6.00,20.06
175,340,708,-1434.36,42.97,27.85
176,342,708,-1430.18,54.32,34.96
177,344,708,-1425.27,59.63,35.68
178,346,708,-1422.56,56.19,31.46
179,348,708,-1420.39,45.89,27.84
180,350,708,-1418.04,31.96,28.39
181,352,708,-1415.36,17.07,32.30
182,354,708,-1412.02,14.51,35.27
183,356,708,-1408.42,29.70,35.41
184,358,708,-1405.06,41.70,35.71
185,360,708,-1401.00,41.95,36.45
186,362,708,-1396.75,31.33,35.22
187,364,708,-1393.25,14.37,32.63
188,366,708,-1390.15,13.53,30.94
189,368,708,-1387.33,24.95,30.78
190,370,708,-1384.33,18.73,30.87
191,372,708,-1381.27,29.26,30.18
192,374,708,-1378.37,37.92,29.07
193,376,708,-1375.34,32.18,27.76
194,378,708,-1372.73,23.19,26.54
195,380,708,-1370.46,7.71,26.51
196,382,708,-1367.93,15.82,27.76
197,384,708,-1365.38,9.98,29.24
198,386,708,-1362.33,19.03,29.72
199,388,708,-1359.77,27.81,28.78
200,390,708,-1357.22,19.68,27.19
201,392,708,-1354.70,7.97,25.77
202,394,708,-1352.68,6.50,25.07
203,396,708,-1350.87,17.60,26.42
204,398,708,-1348.22,18.59,30.58
205,400,708,-1344.61,14.00,35.70
206,402,708,-1340.14,24.54,38.86
207,404,708,-1335.43,18.30,38.43
208,406,708,-1331.72,15.77,35.93
209,408,708,-1328.23,9.34,33.93
210,410,708,-1324.73,14.84,32.67
211,412,708,-1321.45,8.97,31.32
212,414,708,-1318.38,27.38,29.26
213,416,708,-1316.20,38.80,26.82
214,418,708,-1314.10,45.17,25.09
215,420,708,-1311.92,49.29,24.65
216,422,708,-1309.81,51.42,26.30
217,424,708,-1307.14,52.87,29.42
218,426,708,-1303.69,54.67,31.37
219,428,708,-1300.12,54.10,31.51
220,430,708,-1296.55,48.34,30.63
221,432,708,-1293.39,38.49,28.53
222,434,708,-1290.97,29.82,26.34
223,436,708,-1289.48,19.76,27.16
224,438,708,-1287.19,20.77,30.85
225,440,708,-1283.36,18.63,31.93
226,442,708,-1280.30,11.33,28.66
227,444,708,-1278.35,15.65,25.70
228,446,708,-1276.90,18.05,27.25
229,448,708,-1274.74,18.38,31.96
230,450,708,-1270.33,24.55,35.63
231,452,708,-1264.53,24.17,35.79
232,454,708,-1259.08,23.37,32.60
233,456,708,-1256.29,27.47,30.77
234,458,710,-1256.80,28.65,35.29
235,460,710,-1251.62,13.60,38.23
236,462,710,-1246.31,15.02,37.67
237,464,710,-1241.39,19.75,33.45
238,466,710,-1240.37,5.80,29.14
239,468,710,-1238.50,9.91,27.99
240,470,710,-1235.69,22.20,28.71
241,472,710,-1232.78,23.99,30.23
242,474,710,-1229.87,11.73,30.93
243,476,710,-1227.29,5.61,29.89
244,478,710,-1225.21,11.91,29.99
245,480,710,-1223.16,18.04,33.27
246,482,710,-1217.88,14.84,35.79
247,484,710,-1212.12,15.69,33.53
248,486,710,-1206.99,16.27,27.50
249,488,710,-1206.40,16.10,25.20
250,490,710,-1204.70,14.09,29.84
251,492,710,-1201.34,25.01,35.45
252,494,710,-1196.98,25.93,37.55
253,496,710,-1192.49,15.96,34.77
254,498,708,-1193.34,16.33,34.68
255,500,708,-1189.07,40.00,32.49
256,502,708,-1185.81,28.85,31.21
257,504,708,-1182.77,28.09,30.75
258,506,708,-1180.62,31.53,32.07
259,508,708,-1178.21,24.04,36.98
260,510,708,-1174.14,19.13,41.90
261,512,708,-1167.86,11.33,41.31
262,514,708,-1163.03,4.86,34.62
263,516,708,-1160.44,7.69,26.90
264,518,708,-1158.51,18.32,23.37
265,520,708,-1156.47,26.13,23.97
266,522,708,-1153.64,21.48,26.50
267,524,708,-1150.63,12.09,29.41
268,526,708,-1147.96,19.11,32.09
269,528,708,-1144.93,19.20,33.91
270,530,708,-1141.07,18.73,31.55
271,532,708,-1138.64,23.91,25.63
272,534,710,-1136.80,8.54,30.67
273,536,710,-1132.61,23.94,32.40
274,538,710,-1129.10,27.47,28.88
275,540,710,-1126.89,25.54,26.69
276,542,710,-1124.33,35.89,31.10
277,544,710,-1120.74,44.41,37.33
278,546,710,-1116.39,46.48,41.29
279,548,710,-1111.23,46.03,41.67
280,550,710,-1106.94,45.43,38.69
281,552,710,-1103.21,45.58,34.83
282,554,710,-1099.96,47.90,32.61
283,556,710,-1096.79,54.82,31.06
284,558,710,-1093.58,59.01,28.16
285,560,710,-1092.22,56.92,26.37
286,562,710,-1089.74,52.60,26.46
287,564,710,-1087.00,49.62,24.10
288,566,710,-1084.60,49.11,19.20
289,568,710,-1084.70,48.14,18.02
290,570,710,-1082.92,44.65,23.33
291,572,708,-1079.59,38.89,33.05
292,574,708,-1075.00,43.38,38.33
293,576,708,-1069.73,44.35,38.66
294,578,708,-1065.49,43.51,32.58
295,580,708,-1067.82,43.66,27.67
296,582,708,-1063.32,43.49,30.84
297,584,708,-1057.90,38.39,34.59
298,586,708,-1052.62,30.34,34.09
299,588,708,-1049.52,16.77,31.18
300,590,708,-1047.03,13.70,28.55
301,592,708,-1045.02,7.97,27.08
302,594,708,-1042.77,9.07,27.78
303,596,708,-1042.22,6.14,32.51
304,598,708,-1037.59,13.86,37.71
305,600,708,-1032.58,3.37,39.00
306,602,708,-1028.45,4.72,37.16
307,604,708,-1024.76,10.11,33.52
308,606,708,-1021.83,12.30,28.78
309,608,708,-1019.34,9.06,24.86
310,610,708,-1017.02,2.72,23.21
311,612,708,-1014.84,2.75,23.48
312,614,708,-1012.73,5.30,24.34
313,616,708,-1010.45,8.23,25.24
314,618,708,-1008.02,17.72,27.71
315,620,708,-1004.98,20.82,31.60
316,622,708,-1001.34,12.03,33.63
317,624,708,-998.15,12.13,32.32
318,626,708,-995.52,3.79,29.93
319,628,708,-993.07,13.39,30.28
320,630,710,-988.25,23.56,33.52
321,632,712,-978.87,15.64,25.97
322,634,714,-980.67,27.04,14.89
323,636,716,-977.43,11.98,14.92
324,638,716,-976.11,18.09,22.40
325,640,716,-973.96,21.04,29.32
326,642,716,-971.41,19.97,31.69
327,644,716,-968.53,17.20,32.57
328,646,716,-965.15,12.89,35.32
329,648,718,-958.04,6.01,34.50
330,650,718,-954.15,5.08,33.62
331,652,720,-954.35,26.75,30.48
332,654,720,-950.13,26.81,32.03
333,656,720,-946.28,25.46,27.71
334,658,720,-943.63,27.41,20.21
335,660,720,-942.09,26.15,17.78
336,662,722,-942.94,9.81,28.19
337,664,724,-937.50,35.53,32.63
338,666,726,-930.56,25.37,27.55
339,668,726,-927.55,4.15,30.96
340,670,728,-928.60,28.65,33.70
341,672,728,-924.22,42.48,34.49
342,674,728,-920.61,43.54,34.72
343,676,728,-916.54,41.57,34.82
344,678,728,-912.75,40.24,32.67
345,680,728,-909.72,31.52,28.12
346,682,728,-907.66,10.69,25.44
347,684,728,-905.28,15.29,28.37
348,686,728,-902.11,18.08,34.20
349,688,728,-898.35,1.59,37.62
350,690,730,-891.62,25.29,30.76
351,692,730,-891.04,21.67,25.66
352,694,730,-890.00,27.44,28.14
353,696,732,-884.77,23.29,39.11
354,698,732,-879.35,26.43,40.83
355,700,732,-875.29,27.05,39.50
356,702,732,-871.72,30.39,37.27
357,704,732,-868.15,26.50,34.34
358,706,732,-864.87,22.57,30.93
359,708,732,-862.32,30.43,28.60
360,710,732,-859.81,28.81,27.62
361,712,732,-857.39,25.93,26.70
362,714,732,-855.11,32.38,24.89
363,716,732,-853.07,35.60,22.96
364,718,732,-851.03,32.02,23.93
365,720,732,-848.71,19.92,29.36
366,722,732,-844.98,4.35,34.77
367,724,732,-840.19,10.16,35.25
368,726,732,-836.73,12.94,32.69
369,728,732,-834.50,9.21,33.89
370,730,732,-831.17,19.50,39.03
371,732,732,-826.69,14.83,41.57
372,734,732,-822.24,17.43,39.45
373,736,732,-818.36,21.93,36.18
374,738,732,-815.11,24.35,34.28
375,740,732,-811.96,15.34,32.42
376,742,732,-808.86,18.41,29.44
377,744,732,-806.14,28.33,26.40
378,746,732,-803.86,36.81,24.63
379,748,732,-801.78,40.12,23.68
380,750,730,-796.97,16.39,20.39
381,752,728,-793.85,18.20,14.10
382,754,728,-794.97,4.64,16.68
383,756,728,-794.52,27.73,25.60
384,758,728,-789.69,34.82,31.76
385,760,728,-787.01,12.94,32.57
386,762,728,-784.33,29.18,31.31
387,764,728,-781.30,30.54,30.44
388,766,728,-778.24,20.50,30.74
389,768,728,-774.50,13.25,30.56
390,770,728,-771.39,2.99,29.31
391,772,728,-769.04,4.17,29.08
392,774,728,-766.21,10.14,30.89
393,776,728,-762.91,21.00,33.32
394,778,728,-759.12,21.06,34.78
395,780,728,-755.53,17.80,34.03
396,782,728,-751.67,20.65,30.65
397,784,728,-747.74,28.38,25.97
398,786,728,-744.37,37.78,22.28
399,788,726,-747.36,18.45,27.60
400,790,726,-744.19,36.33,35.66
401,792,726,-738.20,18.70,39.03
402,794,726,-732.62,24.64,35.55
403,796,726,-727.79,25.01,28.17
404,798,726,-726.06,16.30,23.81
405,800,726,-725.55,36.09,26.63
406,802,726,-723.47,31.97,32.55
407,804,726,-720.44,15.44,38.10
408,806,726,-716.29,11.59,41.19
409,808,726,-711.19,21.15,39.27
410,810,726,-706.94,24.58,34.10
411,812,726,-703.44,15.23,31.43
412,814,726,-700.42,17.84,32.05
413,816,726,-697.65,43.81,33.35
414,818,726,-694.48,45.96,33.64
415,820,726,-691.18,33.82,32.02
416,822,726,-688.12,31.67,28.82
417,824,726,-685.69,36.32,25.81
418,826,726,-683.78,32.83,25.13
419,828,726,-681.95,19.42,26.97
420,830,726,-679.30,1.53,29.61
421,832,726,-675.85,19.84,31.02
422,834,726,-672.59,30.94,30.73
423,836,726,-669.70,30.48,30.12
424,838,726,-666.74,31.40,30.42
425,840,726,-663.67,27.74,31.03
426,842,726,-660.45,38.19,30.90
427,844,726,-657.49,44.45,29.98
428,846,726,-654.69,37.40,28.75
429,848,726,-652.08,20.90,27.59
430,850,726,-649.89,16.35,27.75
431,852,726,-646.85,21.47,29.38
432,854,726,-643.52,29.22,30.60
433,856,726,-640.21,27.82,30.45
434,858,726,-637.32,22.92,29.15
435,860,726,-634.53,24.05,27.69
436,862,726,-631.95,21.87,27.27
437,864,726,-629.40,13.07,28.01
438,866,726,-626.59,3.13,29.20
439,868,726,-623.54,15.61,29.97
440,870,726,-620.48,13.39,29.59
441,872,726,-617.92,16.89,28.93
442,874,726,-615.37,27.58,28.87
443,876,726,-612.80,26.11,28.20
444,878,726,-610.04,32.91,25.26
